problem_id,source,target,prev_source,prev_target
mawps-87,"In a bag there are 13 red marbles, 5 blue marbles, and 7 green marbles.","container ( bag , 13 , marble , red , None ) container ( bag , 5 , marble , blue , None ) container ( bag , 7 , marble , green , None )",,
mawps-87,What percent of the marbles are green?,"container ( bag , None , marble , None , None ) part ( bag , marble , None , None , bag , marble , red , None , bag , marble , blue , None , bag , marble , green , None ) explicit ( bag , bag , None , marble , green , None , marble , None , None )","In a bag there are 13 red marbles, 5 blue marbles, and 7 green marbles.","container ( bag , 13 , marble , red , None ) container ( bag , 5 , marble , blue , None ) container ( bag , 7 , marble , green , None )"
mawps-212,Each chocolate bar in a box cost $4.,"rate ( world , 4 , cost , None , $ , chocolate bar , None , None )",,
mawps-212,"If a box had 11 bars total and Vanessa sold all but 7 bars,","container ( world , 11 , chocolate bar , box , None ) transfer ( None , world , 7 , chocolate bar , Vanessa , None )",Each chocolate bar in a box cost $4.,"rate ( world , 4 , cost , None , $ , chocolate bar , None , None )"
mawps-212,how much money would she have made?,"container ( world , None , cost , None , $ )","If a box had 11 bars total and Vanessa sold all but 7 bars,","container ( world , 11 , chocolate bar , box , None ) transfer ( None , world , 7 , chocolate bar , Vanessa , None )"
mawps-357,There were 2 friends playing a video game online when 2 more players joined the game.,"container ( game , 2 , friend , None , None ) transfer ( game , None , 2 , friend , None , None )",,
mawps-357,"If each player had 3 lives,","rate ( game , 3 , lives , None , None , player , None , None )",There were 2 friends playing a video game online when 2 more players joined the game.,"container ( game , 2 , friend , None , None ) transfer ( game , None , 2 , friend , None , None )"
mawps-357,how many lives did they have total?,"container ( game , None , lives , None , None )","If each player had 3 lives,","rate ( game , 3 , lives , None , None , player , None , None )"
mawps-68,A pet store has 9 bird cages.,"container ( pet store , 9 , cage , None , None )",,
mawps-68,"If each cage has 2 parrots and 6 parakeets in it,","rate ( pet store , 2 , bird , parrot , None , cage , None , None ) rate ( pet store , 6 , bird , parakeet , None , cage , None , None )",A pet store has 9 bird cages.,"container ( pet store , 9 , cage , None , None )"
mawps-68,how many birds does the pet store have total?,"container ( pet store , None , bird , None , None ) part ( pet store , bird , None , None , pet store , bird , parrot , None , pet store , bird , parakeet , None )","If each cage has 2 parrots and 6 parakeets in it,","rate ( pet store , 2 , bird , parrot , None , cage , None , None ) rate ( pet store , 6 , bird , parakeet , None , cage , None , None )"
mawps-183,There is 1/6 cup of oil in Scarlett's measuring cup.,"container ( scarlett , 1/6 , oil , None , cup )",,
mawps-183,"If Scarlett adds 2/3 cup more,","transfer ( scarlett , None , 2/3 , oil , None , cup )",There is 1/6 cup of oil in Scarlett's measuring cup.,"container ( scarlett , 1/6 , oil , None , cup )"
mawps-183,how much oil will be in the measuring cup?,"container ( scarlett , None , oil , None , cup )","If Scarlett adds 2/3 cup more,","transfer ( scarlett , None , 2/3 , oil , None , cup )"
mawps-245,"Each year, salmon travel upstream, going from the ocean to the rivers where they were born.",,,
mawps-245,"This year, 712261 male and 259378 female salmon returned to their rivers.","container ( river , 712261 , salmon , male , None ) container ( river , 259378 , salmon , female , None )","Each year, salmon travel upstream, going from the ocean to the rivers where they were born.",
mawps-245,How many salmon made the trip?,"container ( river , None , salmon , None , None ) part ( river , salmon , None , None , river , salmon , male , None , river , salmon , female , None )","This year, 712261 male and 259378 female salmon returned to their rivers.","container ( river , 712261 , salmon , male , None ) container ( river , 259378 , salmon , female , None )"
mawps-300,"Tim got 3 nickels and 13 dimes for shining shoes, and in his tip jar found 7 dimes and 9 half-dollars.","container ( tim , 3 , money , shining shoes , nickel ) container ( tim , 13 , money , shining shoes , dime ) container ( tim , 7 , money , tip jar , dime ) container ( tim , 9 , money , tip jar , half-dollar )",,
mawps-300,How much money did Tim get?,"explicit ( tim , tim , 0.05 , money , None , dollar , money , shining shoes , nickel ) explicit ( tim , tim , 0.1 , money , None , dollar , money , shining shoes , dime ) explicit ( tim , tim , 0.1 , money , None , dollar , money , tip jar , dime ) explicit ( tim , tim , 0.1 , money , None , dollar , money , tip jar , half-dollar ) container ( tim , None , money , None , dollar )","Tim got 3 nickels and 13 dimes for shining shoes, and in his tip jar found 7 dimes and 9 half-dollars.","container ( tim , 3 , money , shining shoes , nickel ) container ( tim , 13 , money , shining shoes , dime ) container ( tim , 7 , money , tip jar , dime ) container ( tim , 9 , money , tip jar , half-dollar )"
mawps-195,"To fill an order, the factory dyed 61921 yards of silk green and 49500 yards pink.","container ( factory , 61291 , silk , green , yard ) container ( factory , 49500 , silk , pink , yard )",,
mawps-195,How many yards of silk did it dye for that order?,"container ( factory , None , silk , None , yard ) part ( factory , silk , None , yard , factory , silk , green , yard , factory , silk , pink , yard )","To fill an order, the factory dyed 61921 yards of silk green and 49500 yards pink.","container ( factory , 61291 , silk , green , yard ) container ( factory , 49500 , silk , pink , yard )"
mawps-316,A painter needed to paint 12 rooms in a building.,"container ( painter , 12 , room , None , None )",,
mawps-316,Each room takes 3 hours to paint.,"rate ( painter , 3 , time , None , hour , room , None , None )",A painter needed to paint 12 rooms in a building.,"container ( painter , 12 , room , None , None )"
mawps-316,"If he already painted 4 rooms,","transfer ( None , painter , 4 , room , None , None )",Each room takes 3 hours to paint.,"rate ( painter , 3 , time , None , hour , room , None , None )"
mawps-316,how much longer will he take to paint the rest?,"container ( painter , None , time , None , hour )","If he already painted 4 rooms,","transfer ( None , painter , 4 , room , None , None )"
mawps-29,Christine wandered 20 miles at 4 miles per hour.,"container ( christine , 20 , distance , None , mile ) rate ( christine , 4 , distance , None , hour , time , None , hour )",,
mawps-29,How long did Christine wander?,"container ( christine , None , time , None , hour )",Christine wandered 20 miles at 4 miles per hour.,"container ( christine , 20 , distance , None , mile ) rate ( christine , 4 , distance , None , hour , time , None , hour )"
mawps-204,Benny picked 2 apples from the apple tree.,"container ( benny , 2 , apple , None , None )",,
mawps-204,Dan picked 9 apples from the apple tree.,"container ( dan , 9 , apple , None , None )",Benny picked 2 apples from the apple tree.,"container ( benny , 2 , apple , None , None )"
mawps-204,How many apples were picked in total?,"container ( world , None , apple , None , None ) part ( world , apple , None , None , benny , apple , None , None , dan , apple , None , None )",Dan picked 9 apples from the apple tree.,"container ( dan , 9 , apple , None , None )"
mawps-91,At a company picnic 9 managers and 15 employees decided to start a game of volleyball.,"container ( company , 9 , manager , None , None ) container ( company , 15 , employee , None , None )",,
mawps-91,If they split into 8 teams.,"container ( company , 8 , team , None , None )",At a company picnic 9 managers and 15 employees decided to start a game of volleyball.,"container ( company , 9 , manager , None , None ) container ( company , 15 , employee , None , None )"
mawps-91,how many people would be on each team?,"container ( company , None , people , None , None ) part ( company , people , None , None , company , manager , None , None , company , employee , None , None ) rate ( company , None , people , None , None , team , None , None )",If they split into 8 teams.,"container ( company , 8 , team , None , None )"
mawps-341,Tim found 679 seashells and 110 starfish on the beach.,"container ( tim , 679 , seashell , None , None ) container ( tim , 110 , starfish , None , None )",,
mawps-341,He gave 172 of the seashells to Sara.,"transfer ( sara , tim , 172 , seashell , None , None )",Tim found 679 seashells and 110 starfish on the beach.,"container ( tim , 679 , seashell , None , None ) container ( tim , 110 , starfish , None , None )"
