problem_id,source,target,prev_source,prev_target
svamp-143,Winter is almost here.,,,
svamp-143,Most animals are migrating to warmer countries.,,Winter is almost here.,
svamp-143,There are 8 bird families living near the mountain.,"container ( winter , 8 , bird family , mountain , None )",Most animals are migrating to warmer countries.,
svamp-143,If 42 bird families flew away to africa and 31 bird families flew away to asia.,"container ( winter , 42 , bird family , Africa , None ) container ( winter , 31 , bird family , Asia , None )",There are 8 bird families living near the mountain.,"container ( winter , 8 , bird family , mountain , None )"
svamp-143,how many more bird families flew away to africa than those that flew away to asia?,"difference ( winter , winter , None , bird family , Africa , None , bird family , Asia , None )",If 42 bird families flew away to africa and 31 bird families flew away to asia.,"container ( winter , 42 , bird family , Africa , None ) container ( winter , 31 , bird family , Asia , None )"
svamp-49,Rachel picked 6 ripe apples from her tree.,"container ( rachel , 6 , apple , ripe , None )",,
svamp-49,Now the tree has 2 ripe apples and 4 unripe apples.,"container ( tree , None , apple , None , None ) container ( tree , None , apple , None , None ) transfer ( rachel , tree , 6 , apple , None , None ) container ( tree , 2 , apple , ripe , None ) container ( tree , 4 , apple , unripe , None ) part ( tree , apple , None , None , tree , apple , ripe , None , tree , apple , unripe , None )",Rachel picked 6 ripe apples from her tree.,"container ( rachel , 6 , apple , ripe , None )"
svamp-49,how many apples did the tree have to begin with?,"container ( tree , None , apple , None , None )",Now the tree has 2 ripe apples and 4 unripe apples.,"container ( tree , None , apple , None , None ) container ( tree , None , apple , None , None ) transfer ( rachel , tree , 6 , apple , None , None ) container ( tree , 2 , apple , ripe , None ) container ( tree , 4 , apple , unripe , None ) part ( tree , apple , None , None , tree , apple , ripe , None , tree , apple , unripe , None )"
svamp-114,Baker made 61 pastries and 167 cakes.,"container ( baker , 61 , pastries , None , None ) container ( baker , 167 , cake , None , None )",,
svamp-114,If he sold 108 cakes and 44 pastries.,"transfer ( None , baker , 44 , pastries , None , None ) transfer ( None , baker , 108 , cake , None , None )",Baker made 61 pastries and 167 cakes.,"container ( baker , 61 , pastries , None , None ) container ( baker , 167 , cake , None , None )"
svamp-114,how many cakes would baker still have?,"container ( baker , None , cake , None , None )",If he sold 108 cakes and 44 pastries.,"transfer ( None , baker , 44 , pastries , None , None ) transfer ( None , baker , 108 , cake , None , None )"
svamp-544,Jake has 3 fewer peaches and 4 more apples than steven.,"difference ( steven , jake , 3 , peach , None , None , peach , None , None ) difference ( jake , steven , 4 , apple , None , None , apple , None , None )",,
svamp-544,Steven has 19 apples and 15 peaches.,"container ( steven , 15 , peach , None , None ) container ( steven , 19 , apple , None , None )",Jake has 3 fewer peaches and 4 more apples than steven.,"difference ( steven , jake , 3 , peach , None , None , peach , None , None ) difference ( jake , steven , 4 , apple , None , None , apple , None , None )"
svamp-544,how many more apples than peaches does steven have?,"difference ( steven , steven , None , apple , None , None , peach , None , None )",Steven has 19 apples and 15 peaches.,"container ( steven , 15 , peach , None , None ) container ( steven , 19 , apple , None , None )"
svamp-913,Josh had 21 marbles in his collection.,"container ( josh , 21 , marble , None , None )",,
svamp-913,He found 7 marbles.,"transfer ( josh , None , 7 , marble , None , None )",Josh had 21 marbles in his collection.,"container ( josh , 21 , marble , None , None )"
svamp-913,How many marbles does he have now?,"container ( josh , None , marble , None , None )",He found 7 marbles.,"transfer ( josh , None , 7 , marble , None , None )"
svamp-73,Kelly has 20 nintendo games and 70 sony games.,"container ( kelly , 20 , game , nintendo , None ) container ( kelly , 70 , game , sony , None )",,
svamp-73,how many nintendo games does she need to give away so that she will have 12 nintendo games left?,"container ( kelly , 12 , game , ninetendo , None ) transfer ( None , kelly , None , game , nintendo , None )",Kelly has 20 nintendo games and 70 sony games.,"container ( kelly , 20 , game , nintendo , None ) container ( kelly , 70 , game , sony , None )"
svamp-179,Mom buys 51 white t-shirts.,"container ( mom , 51 , t-shirt , white , None )",,
svamp-179,If white t-shirts can be purchased in packages of 3.,"rate ( mom , 3 , t-shirt , white , None , package , None , None )",Mom buys 51 white t-shirts.,"container ( mom , 51 , t-shirt , white , None )"
svamp-179,how many packages will she have?,"container ( mom , None , package , None , None )",If white t-shirts can be purchased in packages of 3.,"rate ( mom , 3 , t-shirt , white , None , package , None , None )"
svamp-196,The bananas in philip's collection are organized into 196 groups.,"container ( philip , None , banana , None , None ) container ( philip , 196 , group , None , None )",,
svamp-196,If there are a total of 392 bananas in philip's banana collection.,"container ( philip , 392 , banana , None , None ) rate ( philip , None , banana , None , None , group , None , None )",The bananas in philip's collection are organized into 196 groups.,"container ( philip , None , banana , None , None ) container ( philip , 196 , group , None , None )"
svamp-196,how big is each group?,"rate ( philip , None , banana , None , None , group , None , None )",If there are a total of 392 bananas in philip's banana collection.,"container ( philip , 392 , banana , None , None ) rate ( philip , None , banana , None , None , group , None , None )"
svamp-24,In a school there are 635 girls and the rest are boys.,"container ( school , 635 , student , girl , None )",,
svamp-24,If there are 510 more boys than girls.,"difference ( school , school , 510 , student , boy , None , student , girl , None )",In a school there are 635 girls and the rest are boys.,"container ( school , 635 , student , girl , None )"
svamp-24,how many boys are there in that school?,"container ( school , None , student , boy , None )",If there are 510 more boys than girls.,"difference ( school , school , 510 , student , boy , None , student , girl , None )"
svamp-32,The grasshopper the frog and the mouse had a jumping contest.,,,
svamp-32,The grasshopper jumped 25 inches.,"container ( grasshopper , 25 , jump , None , inch )",The grasshopper the frog and the mouse had a jumping contest.,
svamp-32,The frog jumped 18 inches farther than the grasshopper.,"difference ( frog , grasshopper , 18 , jump , None , inch , jump , None , inch )",The grasshopper jumped 25 inches.,"container ( grasshopper , 25 , jump , None , inch )"
svamp-32,The mouse jumped 2 inches farther than the frog.,"difference ( mouse , frog , 2 , jump , None , inch , jump , None , inch )",The frog jumped 18 inches farther than the grasshopper.,"difference ( frog , grasshopper , 18 , jump , None , inch , jump , None , inch )"
svamp-32,how far did the mouse jump?,"container ( mouse , None , jump , None , inch )",The mouse jumped 2 inches farther than the frog.,"difference ( mouse , frog , 2 , jump , None , inch , jump , None , inch )"
svamp-180,Mom buys 70 white t-shirts in total.,"container ( mom , 70 , t-shirt , white , None )",,
svamp-180,If white t-shirts can be purchased in packages and mom buys 14 packages.,"container ( mom , 14 , package , None , None ) rate ( mom , None , t-shirt , white , None , package , None , None )",Mom buys 70 white t-shirts in total.,"container ( mom , 70 , t-shirt , white , None )"
svamp-180,how many white t-shirts does each package have?,"rate ( mom , None , t-shirt , white , None , package , None , None )",If white t-shirts can be purchased in packages and mom buys 14 packages.,"container ( mom , 14 , package , None , None ) rate ( mom , None , t-shirt , white , None , package , None , None )"
svamp-138,Next on his checklist are wax to stick the feathers together.,,,
svamp-138,He needs 159 g of wax more.,"container ( he , None , wax , None , g )",Next on his checklist are wax to stick the feathers together.,
svamp-138,If the feathers require a total of 628 g of wax.,"container ( he , 159 , wax , None , g ) container ( he , 628 , wax , None , g ) part ( he , wax , None , g , he , wax , None , g , he , wax , None , g )",He needs 159 g of wax more.,"container ( he , None , wax , None , g )"
svamp-138,how many grams of wax does he already have?,"container ( he , None , wax , None , g )",If the feathers require a total of 628 g of wax.,"container ( he , 159 , wax , None , g ) container ( he , 628 , wax , None , g ) part ( he , wax , None , g , he , wax , None , g , he , wax , None , g )"
svamp-65,Mary is baking a cake.,,,
svamp-65,The recipe calls for 12 cups of flour and 5 cups of sugar.,"container ( mary , 12 , flour , None , cup ) container ( mary , 5 , sugar , None , cup )",Mary is baking a cake.,
svamp-65,She already put in some cups of flour.,,The recipe calls for 12 cups of flour and 5 cups of sugar.,"container ( mary , 12 , flour , None , cup ) container ( mary , 5 , sugar , None , cup )"
svamp-65,If she still needs 2 more cups of flour.,"container ( mary , 2 , flour , None , cup ) transfer ( None , mary , None , cherries , None , None )",She already put in some cups of flour.,
svamp-65,how many cups of flour did she put in?,"transfer ( None , mary , None , cherries , None , None )",If she still needs 2 more cups of flour.,"container ( mary , 2 , flour , None , cup ) transfer ( None , mary , None , cherries , None , None )"
svamp-211,Frank was reading through some books.,,,
svamp-211,Each book had 249 pages.,"container ( frank , 249 , page , book , None )",Frank was reading through some books.,
svamp-211,It took frank 3 days to finish each book.,"container ( frank , 3 , time , None , day )",Each book had 249 pages.,"container ( frank , 249 , page , book , None )"
svamp-211,how many pages did he read per day?,"rate ( frank , None , page , None , None , time , None , day )",It took frank 3 days to finish each book.,"container ( frank , 3 , time , None , day )"
svamp-45,Rachel picked 4 apples from her tree.,"container ( rachel , 4 , apple , None , None )",,
svamp-45,If the tree had 7 apples initially.,"container ( tree , 7 , apple , None , None ) transfer ( None , tree , 4 , apple , Rachel , None )",Rachel picked 4 apples from her tree.,"container ( rachel , 4 , apple , None , None )"
svamp-45,how many apples are still there on the tree?,"container ( tree , None , apple , None , None )",If the tree had 7 apples initially.,"container ( tree , 7 , apple , None , None ) transfer ( None , tree , 4 , apple , Rachel , None )"
svamp-118,There were 12 roses and 2 orchids in the vase.,"container ( vase , 12 , rose , None , None ) container ( vase , 2 , orchid , None , None )",,
svamp-118,Jessica cut some more roses and orchids from her flower garden.,"transfer ( vase , None , None , rose , Jessica , None ) transfer ( vase , None , None , orchid , Jessica , None )",There were 12 roses and 2 orchids in the vase.,"container ( vase , 12 , rose , None , None ) container ( vase , 2 , orchid , None , None )"
svamp-118,There are now 10 roses and 21 orchids in the vase.,"container ( vase , 10 , rose , None , None ) container ( vase , 21 , orchid , None , None )",Jessica cut some more roses and orchids from her flower garden.,"transfer ( vase , None , None , rose , Jessica , None ) transfer ( vase , None , None , orchid , Jessica , None )"
svamp-118,how many orchids did she cut?,"transfer ( vase , None , None , orchid , Jessica , None )",There are now 10 roses and 21 orchids in the vase.,"container ( vase , 10 , rose , None , None ) container ( vase , 21 , orchid , None , None )"
svamp-53,At the stop 8 more people got on the train.,"transfer ( train , None , 8 , people , None , None )",,
svamp-53,Initially there were 11 people on the train.,"container ( train , 11 , people , None , None )",At the stop 8 more people got on the train.,"transfer ( train , None , 8 , people , None , None )"
svamp-53,how many people are there on the train now?,"container ( train , None , people , None , None )",Initially there were 11 people on the train.,"container ( train , 11 , people , None , None )"
svamp-175,There are 4502 skittles in steven's skittles collection.,"container ( steven , 4502 , skittle , None , None )",,
svamp-175,Steven also has 4276 erasers.,"container ( steven , 4276 , eraser , None , None )",There are 4502 skittles in steven's skittles collection.,"container ( steven , 4502 , skittle , None , None )"
svamp-175,If the skittles and erasers are organized into 154 groups.,"container ( steven , 154 , group , None , None )",Steven also has 4276 erasers.,"container ( steven , 4276 , eraser , None , None )"
svamp-175,how big is each group?,"container ( steven , None , object , None , None ) part ( steven , object , None , None , steven , skittle , None , None , steven , eraser , None , None ) rate ( steven , None , object , None , None , group , None , None )",If the skittles and erasers are organized into 154 groups.,"container ( steven , 154 , group , None , None )"
svamp-163,Bryan took a look at his books as well.,,,
svamp-163,He has 7 bookshelves with each having the same number of books.,"container ( bryan , 7 , bookshelves , None , None )",Bryan took a look at his books as well.,
svamp-163,If he has a total of 28 books.,"container ( bryan , 28 , book , None , None )",He has 7 bookshelves with each having the same number of books.,"container ( bryan , 7 , bookshelves , None , None )"
svamp-163,how many books are there in each bookshelf?,"rate ( bryan , None , book , None , None , bookshelves , None , None )",If he has a total of 28 books.,"container ( bryan , 28 , book , None , None )"
svamp-86,A farmer had 160 tomatoes in his garden.,"container ( farmer , 160 , tomato , None , None )",,
svamp-86,If he picked 56 of them yesterday and 41 today.,"transfer ( None , farmer , 56 , tomato , None , None ) transfer ( None , farmer , 41 , tomato , today , None )",A farmer had 160 tomatoes in his garden.,"container ( farmer , 160 , tomato , None , None )"
svamp-86,how many did he have left after yesterday's picking?,"container ( farmer , None , tomato , None , None )",If he picked 56 of them yesterday and 41 today.,"transfer ( None , farmer , 56 , tomato , None , None ) transfer ( None , farmer , 41 , tomato , today , None )"
svamp-69,Rachel had to complete 4 pages of reading homework 7 pages of math homework and 19 more pages of biology homework.,"container ( rachel , 4 , page , reading homework , None ) container ( rachel , 7 , page , math homework , None ) container ( rachel , 19 , page , biology homework , None )",,
svamp-69,how many more pages of math homework than reading homework did she have?,"difference ( rachel , rachel , None , page , math homework , None , page , reading homework , None )",Rachel had to complete 4 pages of reading homework 7 pages of math homework and 19 more pages of biology homework.,"container ( rachel , 4 , page , reading homework , None ) container ( rachel , 7 , page , math homework , None ) container ( rachel , 19 , page , biology homework , None )"
svamp-68,Rachel had to complete 2 pages of reading homework and 4 pages of math homework.,"container ( rachel , 2 , homework , reading , page ) container ( rachel , 4 , homework , math , page )",,
